created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-12-27T10:26:09+00:00,1,242,110,50,"27.0",,,,
2023-12-27T10:26:25+00:00,2,"27.0",,,,,,,
2023-12-27T15:58:12+00:00,3,242,110,50,"26.6",,,,
2023-12-27T15:58:30+00:00,4,242,110,50,"26.6",,,,
2023-12-27T15:58:48+00:00,5,242,110,50,"26.6",,,,
2023-12-27T15:59:05+00:00,6,242,110,50,"26.8",,,,
2023-12-27T15:59:21+00:00,7,242,110,50,"26.8",,,,
2023-12-27T15:59:41+00:00,8,242,120,50,"26.8",,,,
2023-12-27T15:59:57+00:00,9,242,110,50,"26.8",,,,
2023-12-27T16:00:18+00:00,10,242,110,50,"26.8",,,,
2023-12-27T16:00:36+00:00,11,242,110,50,"26.8",,,,
2023-12-27T16:00:57+00:00,12,242,110,50,"26.8",,,,
2023-12-27T16:01:12+00:00,13,242,110,50,"26.8",,,,
2023-12-27T16:01:29+00:00,14,242,110,50,"26.8",,,,
2023-12-27T16:01:45+00:00,15,242,110,50,"27.0",,,,
2023-12-27T16:02:01+00:00,16,242,120,50,"26.8",,,,
2023-12-27T16:02:20+00:00,17,242,110,50,"27.0",,,,
2023-12-27T16:02:37+00:00,18,242,110,50,"27.0",,,,
2023-12-27T16:02:52+00:00,19,20,50,"27.0",,,,,
2023-12-27T16:03:11+00:00,20,242,110,50,"27.0",,,,
2023-12-27T16:03:26+00:00,21,242,110,50,"27.0",,,,
2024-01-22T05:55:08+00:00,22,242,120,50,"28.6",,,,
2024-01-22T05:55:26+00:00,23,242,120,50,"28.6",,,,
2024-01-22T05:55:41+00:00,24,20,50,"29.0",,,,,
2024-01-22T05:55:58+00:00,25,20,50,"28.6",,,,,
2024-01-22T05:56:15+00:00,26,20,50,"29.0",,,,,
2024-01-22T05:56:33+00:00,27,242,130,50,"29.2",,,,
2024-01-22T05:56:48+00:00,28,50,"28.8",,,,,,
2024-01-22T05:57:05+00:00,29,242,120,50,"28.8",,,,
2024-01-22T05:57:22+00:00,30,242,120,50,"28.4",,,,
2024-01-22T05:57:37+00:00,31,".8",,,,,,,
2024-01-22T10:08:26+00:00,32,242,110,50,"26.2",,,,
2024-01-22T10:08:43+00:00,33,242,100,50,"26.2",,,,
2024-01-22T10:09:00+00:00,34,110,50,"26.2",,,,,
2024-01-22T10:09:17+00:00,35,242,100,50,"26.2",,,,
2024-01-22T10:09:33+00:00,36,50,"26.2",,,,,,
2024-01-22T10:09:49+00:00,37,242,110,50,"26.2",,,,
2024-01-22T10:10:05+00:00,38,"6.4",,,,,,,
